
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.200
  alpha =    2.000    CLtot =    0.404
  beta  =    0.000

  Sref  =    45.61380
  Bref  =    20.04000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.202134         0.387279E-01
    0.0365  0.192296         0.351172E-01
    0.1096  0.172445         0.284395E-01
    0.1826  0.152203         0.224958E-01
    0.2557  0.131560         0.173007E-01
    0.3287  0.110683         0.128657E-01
    0.4005  0.904335E-01     0.924736E-02
    0.4711  0.715301E-01     0.638474E-02
    0.5416  0.542205E-01     0.416216E-02
    0.6121  0.389089E-01     0.251615E-02
    0.6826  0.258953E-01     0.137077E-02
    0.7532  0.154093E-01     0.640737E-03
    0.8237  0.761790E-02     0.233743E-03
    0.8942  0.260446E-02     0.530688E-04
    0.9647  0.265407E-03     0.234546E-05
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.202134        -0.387279E-01
   -0.0365  0.192296        -0.351172E-01
   -0.1096  0.172445        -0.284395E-01
   -0.1826  0.152203        -0.224958E-01
   -0.2557  0.131560        -0.173007E-01
   -0.3287  0.110683        -0.128657E-01
   -0.4005  0.904335E-01    -0.924736E-02
   -0.4711  0.715301E-01    -0.638474E-02
   -0.5416  0.542205E-01    -0.416216E-02
   -0.6121  0.389089E-01    -0.251615E-02
   -0.6826  0.258953E-01    -0.137077E-02
   -0.7532  0.154093E-01    -0.640737E-03
   -0.8237  0.761790E-02    -0.233743E-03
   -0.8942  0.260446E-02    -0.530688E-04
   -0.9647  0.265407E-03    -0.234546E-05
   -1.0000   0.00000          0.00000    
