 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     MainWing                                
     # Chordwise =  8   # Spanwise = 14     First strip =  1
     Surface area =   23.151485       Ave. chord =    2.304899
     CLsurf  =   0.38427     Clsurf  =  -0.07713
     CYsurf  =  -0.02143     Cmsurf  =  -0.51852
     CDsurf  =   0.01091     Cnsurf  =  -0.00458
     CDisurf =   0.01091     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.76778     CDsurf  =   0.02177
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.3660   4.0599   2.9791   2.3527   0.0514   0.6678   0.5786   0.0379   0.0000  -0.0329  -0.1597    0.307
     2   1.0980   3.6997   2.7148   2.3583   0.0585   0.7354   0.6373   0.0344   0.0000  -0.0252  -0.1660    0.290
     3   1.8300   3.3395   2.4505   2.3596   0.0653   0.8157   0.7068   0.0342   0.0000  -0.0208  -0.1777    0.280
     4   2.5620   2.9793   2.1862   2.3455   0.0722   0.9090   0.7877   0.0360   0.0000  -0.0180  -0.1934    0.273
     5   3.2940   2.6191   1.9219   2.3048   0.0792   1.0161   0.8805   0.0402   0.0000  -0.0162  -0.2127    0.268
     6   4.0133   2.3580   1.6704   2.2127   0.0782   1.1362   0.9397   0.0361   0.0000  -0.0122  -0.2223    0.263
     7   4.7200   2.1959   1.5555   2.0801   0.0707   1.1485   0.9498   0.0242   0.0000  -0.0103  -0.2226    0.261
     8   5.4267   2.0337   1.4407   1.9136   0.0615   1.1421   0.9445   0.0138   0.0000  -0.0097  -0.2206    0.260
     9   6.1333   1.8716   1.3258   1.7202   0.0515   1.1167   0.9235   0.0044   0.0000  -0.0095  -0.2155    0.260
    10   6.8400   1.7095   1.2110   1.5041   0.0407   1.0700   0.8850  -0.0041   0.0000  -0.0094  -0.2066    0.261
    11   7.5467   1.5474   1.0962   1.2683   0.0290   0.9977   0.8252  -0.0114   0.0000  -0.0094  -0.1930    0.261
    12   8.2533   1.3853   0.9813   1.0142   0.0163   0.8921   0.7378  -0.0172   0.0000  -0.0093  -0.1732    0.263
    13   8.9600   1.2232   0.8665   0.7409   0.0021   0.7388   0.6110  -0.0203   0.0000  -0.0088  -0.1443    0.264
    14   9.6667   1.0611   0.7516   0.4378  -0.0141   0.5038   0.4167  -0.0185   0.0000  -0.0063  -0.0986    0.265

  Surface # 2     MainWing (YDUP)                         
     # Chordwise =  8   # Spanwise = 14     First strip = 15
     Surface area =   23.151485       Ave. chord =    2.304899
     CLsurf  =   0.38427     Clsurf  =   0.07713
     CYsurf  =   0.02143     Cmsurf  =  -0.51852
     CDsurf  =   0.01091     Cnsurf  =   0.00458
     CDisurf =   0.01091     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.76778     CDsurf  =   0.02177
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    15  -0.3660   4.0599   2.9791   2.3527   0.0514   0.6678   0.5786   0.0379   0.0000  -0.0329   0.1597    0.307
    16  -1.0980   3.6997   2.7148   2.3583   0.0585   0.7354   0.6373   0.0344   0.0000  -0.0252   0.1660    0.290
    17  -1.8300   3.3395   2.4505   2.3596   0.0653   0.8157   0.7068   0.0342   0.0000  -0.0208   0.1777    0.280
    18  -2.5620   2.9793   2.1862   2.3455   0.0722   0.9090   0.7877   0.0360   0.0000  -0.0180   0.1934    0.273
    19  -3.2940   2.6191   1.9219   2.3048   0.0792   1.0161   0.8805   0.0402   0.0000  -0.0162   0.2127    0.268
    20  -4.0133   2.3580   1.6704   2.2127   0.0782   1.1362   0.9397   0.0361   0.0000  -0.0122   0.2223    0.263
    21  -4.7200   2.1959   1.5555   2.0801   0.0707   1.1485   0.9498   0.0242   0.0000  -0.0103   0.2226    0.261
    22  -5.4267   2.0337   1.4407   1.9136   0.0615   1.1421   0.9445   0.0138   0.0000  -0.0097   0.2206    0.260
    23  -6.1333   1.8716   1.3258   1.7202   0.0515   1.1167   0.9235   0.0044   0.0000  -0.0095   0.2155    0.260
    24  -6.8400   1.7095   1.2110   1.5041   0.0407   1.0700   0.8850  -0.0041   0.0000  -0.0094   0.2066    0.261
    25  -7.5467   1.5474   1.0962   1.2683   0.0290   0.9977   0.8252  -0.0114   0.0000  -0.0094   0.1930    0.261
    26  -8.2533   1.3853   0.9813   1.0142   0.0163   0.8921   0.7378  -0.0172   0.0000  -0.0093   0.1732    0.263
    27  -8.9600   1.2232   0.8665   0.7409   0.0021   0.7388   0.6110  -0.0203   0.0000  -0.0088   0.1442    0.264
    28  -9.6667   1.0611   0.7516   0.4378  -0.0141   0.5038   0.4167  -0.0185   0.0000  -0.0063   0.0986    0.265
 ---------------------------------------------------------------
